Tag,en,fa,ar,de,ru,tr,cn,pt,ja
Banned,Your account is banned. Please contact support,حساب کاربری شما مسدود شده است. لطفاً با پشتیبانی تماس بگیرید., تم حظر حسابك. يرجى الاتصال بالدعم, Ihr Konto wurde gesperrt. Bitte kontaktieren Sie den Support.,"Ваш аккаунт заблокирован. Пожалуйста, свяжитесь с поддержкой.",Hesabınız engellendi. Lütfen destek ile iletişime geçin.,您的帐户已被禁止。请联系支持。," Sua conta foi banida. Por favor, entre em contato com o suporte.", あなたのアカウントは禁止されています。サポートに連絡してください。
InvalidEmail,Email format is not valid,فرمت ایمیل معتبر نیست., تنسيق البريد الإلكتروني غير صالح, Das E-Mail-Format ist ungültig., Формат электронной почты недействителен.,E-posta formatı geçerli değil., 电子邮件格式无效。,Formato de email inválido.,メールの形式が無効です。
InvalidDate,Date format is not valid,فرمت تاریخ معتبر نیست., تنسيق التاريخ غير صالح,Das Datumsformat ist ungültig., Формат даты недействителен.,Tarih formatı geçerli değil.,日期格式无效。, Formato de data inválido.,日付の形式が無効です。
InvalidUsername,Username format is invalid, فرمت نام کاربری نامعتبر است., تنسيق اسم المستخدم غير صالح, Das Benutzername-Format ist ungültig.,Неверный формат имени пользователя.,Kullanıcı adı formatı geçersiz.,用户名格式无效。,Formato de nome de usuário inválido.,ユーザー名の形式が無効です。
ReCaptchaInvalid ,Invalid reCaptcha, reCaptcha نامعتبر است.,رمز reCaptcha غير صالح,Ungültige reCaptcha.,Неверная reCaptcha,Geçersiz reCaptcha.,无效的reCaptcha。,reCaptcha inválido., 無効なreCaptcha。
NotFound ,Not found, پیدا نشد.,غير موجود,Nicht gefunden.,Не найдено.,Bulunamadı., 未找到。,Não encontrado.,見つかりません。
Created ,Created successfully, با موفقیت ایجاد شد., تم الإنشاء بنجاح,Erfolgreich erstellt.,Успешно создано.,Başarıyla oluşturuldu.,创建成功。,Criado com sucesso.,作成に成功しました。
Updated ,Updated successfully,با موفقیت به روز شد.,تم التحديث بنجاح,Erfolgreich aktualisiert.,Успешно обновлено.,Başarıyla güncellendi.,更新成功。,Atualizado com sucesso.,更新に成功しました。
Added,Added successfully, با موفقیت اضافه شد., تمت الإضافة بنجاح,Erfolgreich hinzugefügt., Успешно добавлено., Başarıyla eklendi., 添加成功。, Adicionado com sucesso.,追加に成功しました。
Deleted ,Deleted successfully, با موفقیت حذف شد., تم الحذف بنجاح,Erfolgreich gelöscht.,Успешно удалено.,Başarıyla silindi., 删除成功。,Excluído com sucesso.,削除に成功しました。
Purchase ,Purchased successfully, با موفقیت خریداری شد., تم الشراء بنجاح,Erfolgreich gekauft., Успешно куплено.,Başarıyla satın alındı.,购买成功。,Comprado com sucesso.,購入に成功しました。
UsedCard ,Card used successfully, کارت با موفقیت استفاده شد., تم استخدام البطاقة بنجاح,Karte erfolgreich verwendet.,Карта успешно использована., Kart başarıyla kullanıldı.,卡片成功使用。,Cartão usado com sucesso.,カードが正常に使用されました。
SentOtp ,OTP has been sent successfully, OTP با موفقیت ارسال شد., تم إرسال رمز OTP بنجاح,OTP wurde erfolgreich gesendet.,OTP успешно отправлен.,OTP başarıyla gönderildi.,OTP已成功发送。,OTP enviado com sucesso.,OTPが正常に送信されました。
ForgetPassword ,New password has been sent to your email successfully, رمز عبور جدید با موفقیت به ایمیل شما ارسال شد., تم إرسال كلمة المرور الجديدة إلى بريدك الإلكتروني بنجاح,Ein neues Passwort wurde erfolgreich an Ihre E-Mail gesendet.,Новый пароль успешно отправлен на вашу почту.,Yeni şifre başarıyla e-postanıza gönderildi.,新密码已成功发送到您的电子邮件。,Nova senha foi enviada com sucesso para o seu email., 新しいパスワードが正常にメールで送信されました。
ChargedWallet ,Wallet has been charged successfully, کیف پول با موفقیت شارژ شد., تم شحن المحفظة بنجاح, Das Wallet wurde erfolgreich aufgeladen.,Кошелек успешно пополнен.,Cüzdan başarıyla şarj edildi.,钱包成功充值。,Carteira carregada com sucesso.,ウォレットが正常にチャージされました。
ReducedWallet,Wallet has been reduced successfully,مبلغ با موفقیت از کیف پول کم شد. ,تم تخفيض المحفظة بنجاح,Brieftasche wurde erfolgreich reduziert,Кошелек успешно уменьшен,,钱包已成功减少,Carteira foi reduzida com sucesso,財布が成功裏に削減されました
ChargedInventory ,Inventory charged successfully,موجودی با موفقیت شارژ شد., تم شحن المخزون بنجاح,Inventar erfolgreich aufgeladen.,Инвентарь успешно пополнен.,Envanter başarıyla şarj edildi., 库存成功充值。, Inventário carregado com sucesso.,インベントリが正常にチャージされました。
